Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
Ajay Nishad,MUZAFFARPUR,BJP,0,Graduate,Rs 145712654 ,Rs 989888 
Prathap Simha,MYSORE,BJP,0,Post Graduate,Rs 6321591 ,Rs 4399048 
Balabhadra Majhi,NABARANGPUR,BJD,0,Graduate,Rs 52977088 ,Rs 705404 
Neiphiu Rio,NAGALAND,NPF,0,Graduate,Rs 315834264 ,Rs 0 
Gopal. Dr. K,NAGAPATTINAM,AIADMK,0,Graduate Professional,Rs 19074709 ,Rs 13629120 
Nandi Yellaiah,NAGARKURNOOL,INC,0,12th Pass,Rs 7048969 ,Rs 0 
C R Choudhary,NAGAUR,BJP,0,Post Graduate,Rs 17921949 ,Rs 0 
Yashwant Singh,NAGINA,BJP,0,Post Graduate,Rs 34806740 ,Rs 0 
Gadkari Nitin Jairam,NAGPUR,BJP, 4 ,Graduate Professional,Rs 153704475 ,Rs 19004037 
Bhagat Singh Koshyari,NAINITAL-UDHAMSINGH NAGAR,BJP,0,Post Graduate,Rs 5562704 ,Rs 0 
Kaushlendra Kumar,NALANDA,JD(U),0,12th Pass,Rs 11812717 ,Rs 477000 
Gutha Sukhender Reddy,NALGONDA,INC, 1 ,12th Pass,Rs 85907866 ,Rs 10103677 
Sundaram P.R,NAMAKKAL,AIADMK,0,Graduate,Rs 126539914 ,Rs 92677412 
Shri Chavan Ashokrao Shankarrao,NANDED,INC,0,Post Graduate,Rs 388758910 ,Rs 30513286 
Dr.Gavit Heena Vaijaykumar,NANDURBAR,BJP,0,Graduate Professional,Rs 131103963 ,Rs 7571753 
S.P.Y Reddy,NANDYAL,Yuvajana Sramika Rythu Congress Party, 2 ,Graduate Professional,Rs 219578079 ,Rs 1077820 
Rayapati Sambasiva Rao,NARASARAOPET,TDP, 2 ,Graduate,Rs 595838093 ,Rs 56263516 
Gokaraju Ganga Raju,NARSAPURAM,BJP, 1 ,Graduate,Rs 2883567122 ,Rs 168501286 
Godse Hement Tukaram,NASHIK,SHS, 1 ,12th Pass,Rs 83628253 ,Rs 23559648 
Patil Chandrakant Raghunath,NAVSARI,BJP, 7 ,10th Pass,Rs 744761133 ,Rs 405888122 
Giriraj Singh,NAWADA,BJP, 1 ,Graduate,Rs 50054771 ,Rs 0 
Mekapati Rajamohan Reddy,NELLORE,Yuvajana Sramika Rythu Congress Party, 2 ,Graduate Professional,Rs 361746068 ,Rs 0 
Smt. Meenakshi Lekhi,NEW DELHI,BJP,0,Graduate Professional,Rs 349916470 ,Rs 3275562 
Gopalakrishnan C.,NILGIRIS,AIADMK,0,Post Graduate,Rs 10941189 ,Rs 1224754 
Kalvakuntla Kavitha,NIZAMABAD,TRS, 8 ,Graduate Professional,Rs 61955750 ,Rs 3213119 
Manoj Tiwari,NORTH EAST DELHI,BJP,0,Post Graduate,Rs 199483924 ,Rs 34645630 
Shripad Yesso Naik,NORTH GOA,BJP,0,Graduate,Rs 37019154 ,Rs 837843 
Udit Raj,NORTH WEST DELHI,BJP, 1 ,Doctorate,Rs 44902363 ,Rs 0 
Rajen Gohain,NOWGONG,BJP, 1 ,Graduate Professional,Rs 24736544 ,Rs 5328287 
Yarram Venkata Subbareddy,ONGOLE,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,Rs 735451548 ,Rs 240557614 
Gaikwad Ravindra Vishwanath,OSMANABAD,SHS, 8 ,Post Graduate,Rs 32852793 ,Rs 5962702 
Thangso Baite,OUTER MANIPUR,INC,0,Post Graduate,Rs 5947000 ,Rs 880000 
M B Rajesh,PALAKKAD,CPI(M), 11 ,Graduate Professional,Rs 4676316 ,Rs 700680 
Vishnu Dayal Ram,PALAMAU,BJP,0,Graduate,Rs 24753886 ,Rs 0 
P P Choudhary,PALI,BJP,0,Graduate Professional,Rs 353503467 ,Rs 7892216 
Chauhan Prabhatsinh Pratapsinh,PANCHMAHAL,BJP, 3 ,10th Pass,Rs 10464000 ,Rs 0 
Jadhav Sanjay (Bandu) Haribhau,PARBHANI,SHS, 7 ,10th Pass,Rs 31016711 ,Rs 5976851 
Dr. Sanjay Jayaswal,PASCHIM CHAMPARAN,BJP, 2 ,Post Graduate,Rs 35941299 ,Rs 6197804 
Ram Kripal Yadav,PATALIPUTRA,BJP, 1 ,Graduate,Rs 13989431 ,Rs 2100000 
Vaghela Liladharbhai Khodaji,PATAN,BJP,0,Graduate Professional,Rs 15384027 ,Rs 0 
Anto Antony,PATHANAMTHITTA,INC,0,Graduate,Rs 5410884 ,Rs 4211050 
Dr.Dharam Vira Gandhi,PATIALA,AAP,0,Graduate Professional,Rs 45115421 ,Rs 0 
Shatrughan Sinha,PATNA SAHIB,BJP, 1 ,Graduate,Rs 1317405961 ,Rs 168760929 
Balka Suman,PEDDAPALLE,TRS, 1 ,Post Graduate,Rs 7351329 ,Rs 620770 
R.P.Marutharajaa,PERAMBALUR,AIADMK,0,Post Graduate,Rs 24570213 ,Rs 0 
Maneka Sanjay Gandhi,PILIBHIT,BJP, 1 ,12th Pass,Rs 374132826 ,Rs 219202 
Mahendran.C,POLLACHI,AIADMK,0,Post Graduate,Rs 231430367 ,Rs 18128825 
R. Radhakrishnan,PONDICHERRY,All India N.R. Congress,0,Post Graduate,Rs 77724418 ,Rs 7658530 
E. T. Mohammed Basheer,PONNANI,IUML,0,10th Pass,Rs 13216259 ,Rs 0 
Radadiya Vithalbhai Hansrajbhai,PORBANDAR,BJP, 10 ,Graduate,Rs 73003639 ,Rs 316000 
Kuwar Harivansh Singh,PRATAPGARH,Apna Dal, 5 ,Graduate,Rs 383137665 ,Rs 149404112 
Anil Shirole,PUNE,BJP, 2 ,Graduate,Rs 227615279 ,Rs 4781007 
Pinaki Mishra,PURI,BJD,0,Graduate Professional,Rs 1370991203 ,Rs 19975839 
Santosh Kumar,PURNIA,JD(U), 3 ,12th Pass,Rs 22316594 ,Rs 1406515 
Mriganka Mahato,PURULIA,AITC,0,Graduate Professional,Rs 8895210 ,Rs 0 
Radha Mohan Singh,PURVI CHAMPARAN,BJP,0,Graduate,Rs 22558073 ,Rs 4270360 
Sonia Gandhi,RAE BARELI,INC,0,Others,Rs 92895288 ,Rs 0 
B.V.Nayak,RAICHUR,INC,0,Graduate Professional,Rs 73502466 ,Rs 0 
Geete Anant Gangaram,RAIGAD,SHS,0,10th Pass,Rs 44466487 ,Rs 23968087 
Md. Salim,RAIGANJ,CPI(M),0,Post Graduate,Rs 8318013 ,Rs 0 
Vishnudev Sai,RAIGARH,BJP,0,10th Pass,Rs 21576220 ,Rs 1819686 
Ramesh Bais,RAIPUR,BJP,0,12th Pass,Rs 73190135 ,Rs 274902 
Murali Mohan Maganti,RAJAHMUNDRY,TDP, 1 ,12th Pass,Rs 180822216 ,Rs 12245000 
P.V.Midhun Reddy,RAJAMPET,Yuvajana Sramika Rythu Congress Party, 1 ,Post Graduate,Rs 225984036 ,Rs 8183862 
Rodmal Nagar,RAJGARH,BJP,0,Graduate,Rs 28569974 ,Rs 3586473 
Mohanbhai Kalyanjibhai Kundariya,RAJKOT,BJP,0,8th Pass,Rs 39512950 ,Rs 2335530 
Vijay Kumar Hansdak,RAJMAHAL,JMM, 1 ,5th Pass,Rs 6863306 ,Rs 0 
Abhishek Singh,RAJNANDGAON,BJP,0,Graduate Professional,Rs 44093207 ,Rs 0 
Hari Om Singh Rathore,RAJSAMAND,BJP,0,Graduate,Rs 188310824 ,Rs 2728752 
Anwhar Raajhaa.A,RAMANATHAPURAM,AIADMK,0,Graduate,Rs 33582876 ,Rs 2700000 
Dr. Nepal Singh,RAMPUR,BJP,0,Doctorate,Rs 27136042 ,Rs 1614820 
Krupal Balaji Tumane,RAMTEK,SHS, 1 ,Graduate,Rs 46564362 ,Rs 216000 
Tapas Mandal,RANAGHAT,AITC,0,Doctorate,Rs 8169115 ,Rs 2383416 
Ramtahal Choudhary,RANCHI,BJP,0,10th Pass,Rs 10743950 ,Rs 0 
Dileep Singh Bhuriya,RATLAM,BJP,0,10th Pass,Rs 12259882 ,Rs 0 
Vinayak Bhaurao Raut,RATNAGIRI SINDHUDURG,SHS, 5 ,Post Graduate,Rs 44568629 ,Rs 2370842 
Khadase Raksha Nikhil,RAVER,BJP,0,Graduate,Rs 144222841 ,Rs 0 
Janardan Mishra,REWA,BJP,0,Graduate Professional,Rs 10156568 ,Rs 106977 
Chhote Lal,ROBERTSGANJ,BJP,0,5th Pass,Rs 3687361 ,Rs 55313 
Deepender Singh,ROHTAK,INC,0,Post Graduate,Rs 358749354 ,Rs 39310300 
Rathod Dipsinh Shankarsinh,SABARKANTHA,BJP,0,8th Pass,Rs 20700176 ,Rs 417585 
Laxmi Narayan Yadav,SAGAR,BJP, 1 ,Graduate Professional,Rs 23962099 ,Rs 956348 
Raghav Lakhanpal,SAHARANPUR,BJP,0,Post Graduate,Rs 35406431 ,Rs 0 
Pannerselvam.V,SALEM,AIADMK,0,Graduate Professional,Rs 32268097 ,Rs 253282 
Ravindra Kushawaha,SALEMPUR,BJP,0,12th Pass,Rs 7134477 ,Rs 0 
Ram Chandra Paswan,SAMASTIPUR,LJP, 3 ,10th Pass,Rs 13058612 ,Rs 0 
Nagendra Kumar Pradhan,SAMBALPUR,BJD,0,Graduate Professional,Rs 12796623 ,Rs 1461565 
Satya Pal Singh,SAMBHAL,BJP,0,Post Graduate,Rs 19904379 ,Rs 0 
Sanjaykaka Patil,SANGLI,BJP,0,10th Pass,Rs 108791027 ,Rs 19198050 
Bhagwant Mann,SANGRUR,AAP,0,12th Pass,Rs 43057512 ,Rs 16281200 
Sharad Tripathi,SANT KABIR NAGAR,BJP,0,Post Graduate,Rs 3697671 ,Rs 71800 
Rajiv Pratap Rudy,SARAN,BJP, 1 ,Post Graduate,Rs 62545997 ,Rs 1008658 
Chhedi Paswan,SASARAM,BJP,0,Post Graduate,Rs 35776803 ,Rs 275000 
Shrimant Chh. Udayanraje Pratapsinha Bhonsale,SATARA,NCP, 23 ,12th Pass,Rs 606089208 ,Rs 312941 
Ganesh Singh,SATNA,BJP, 2 ,Post Graduate,Rs 37800000 ,Rs 0 
Bandaru Dattatreya,SECUNDERABAD,BJP, 3 ,Graduate,Rs 98255148 ,Rs 405469 
Dalpat Singh Paraste,SHAHDOL,BJP,0,Graduate Professional,Rs 5524870 ,Rs 0 
Krishna Raj,SHAHJAHANPUR,BJP,0,Post Graduate,Rs 16506411 ,Rs 3612812 
Rama Devi,SHEOHAR,BJP, 6 ,Graduate Professional,Rs 308591850 ,Rs 0 
Vincent H. Pala,SHILLONG,INC,0,Graduate Professional,Rs 497108058 ,Rs 0 
Virender Kashyap,SHIMLA,BJP,0,Post Graduate,Rs 5228095 ,Rs 0 
B.S. Yeddyurappa,SHIMOGA,BJP, 8 ,12th Pass,Rs 69746267 ,Rs 500000 
Lokhande Sadashiv Kisan,SHIRDI,SHS, 1 ,10th Pass,Rs 38294539 ,Rs 1497168 
Adhalrao Shivaji Dattatrey,SHIRUR,SHS, 10 ,Others,Rs 253880475 ,Rs 61810866 
Daddan Mishra,SHRAWASTI,BJP,0,Post Graduate,Rs 20065527 ,Rs 228304 
Riti Pathak,SIDHI,BJP,0,Post Graduate,Rs 33416561 ,Rs 0 
Sumedha Nand Saraswati,SIKAR,BJP,0,Others,Rs 34311 ,Rs 0 
Prem Das Rai,SIKKIM,SDF,0,Post Graduate,Rs 32389223 ,Rs 0 
Sushmita Dev,SILCHAR,INC, 1 ,Post Graduate,Rs 87495844 ,Rs 12008613 
Laxman Giluwa,SINGHBHUM,BJP, 4 ,12th Pass,Rs 8094301 ,Rs 108145 
Charanjeet Singh,SIRSA,INLD,0,10th Pass,Rs 8146887 ,Rs 3260000 
Ram Kumar Sharma,SITAMARHI,Rashtriya Lok Samta Party,0,Post Graduate,Rs 9265000 ,Rs 82000 
Rajesh Kumar Singh,SITAPUR,BJP,0,Post Graduate,Rs 41418622 ,Rs 1265000 
Pr Senthilnathan,SIVAGANGA,AIADMK,0,Graduate Professional,Rs 49050835 ,Rs 7459581 
Om Prakash Yadav,SIWAN,BJP, 1 ,Graduate,Rs 2213023 ,Rs 1956467 
Sharad Bansode,SOLAPUR,BJP, 1 ,Graduate Professional,Rs 60152887 ,Rs 7604375 
Ramesh Kaushik,SONIPAT,BJP,0,Graduate Professional,Rs 142840716 ,Rs 0 
Ramesh Bidhuri,SOUTH DELHI,BJP, 4 ,Graduate Professional,Rs 147493056 ,Rs 0 
Adv. Narendra Keshav Sawaikar,SOUTH GOA,BJP,0,Graduate Professional,Rs 6260382 ,Rs 0 
Kalyan Banerjee,SREERAMPUR,AITC, 1 ,Graduate Professional,Rs 88512676 ,Rs 8582543 
Rammohannaidu Kinjarapu,SRIKAKULAM,TDP,0,Post Graduate,Rs 84173423 ,Rs 0 
Tariq Hameed Karra,SRINAGAR,JKPDP,0,Graduate Professional,Rs 984556436 ,Rs 1500000 
Ramachandran K.N. Thiru,SRIPERUMBUDUR,AIADMK,0,Post Graduate,Rs 936721057 ,Rs 80806268 
Feroze Varun Gandhi,SULTANPUR,BJP,0,Post Graduate,Rs 357318699 ,Rs 18119000 
Jual Oram,SUNDARGARH,BJP, 1 ,Others,Rs 24202170 ,Rs 0 
Ranjeet Ranjan,SUPAUL,INC, 5 ,12th Pass,Rs 81242965 ,Rs 0 
Jardosh Darshnaben Vikrambhai,SURAT,BJP,0,Graduate,Rs 18038444 ,Rs 2020458 
Fatepara Devajibhai Govindbhai,SURENDRANAGAR,BJP, 1 ,Literate,Rs 11685000 ,Rs 0 
Kamalbhan Singh,SURGUJA,BJP,0,Post Graduate,Rs 24773173 ,Rs 2995985 
Suvendu Adhikari,TAMLUK,AITC, 2 ,Post Graduate,Rs 6480767 ,Rs 0 
Mala Rajya Laxmi Shah,TEHRI GARHWAL,BJP,0,12th Pass,Rs 1662109875 ,Rs 14900000 
Vasanthi.M,TENKASI,AIADMK,0,Post Graduate,Rs 24014922 ,Rs 0 
Ram Prasad Sarmah,TEZPUR,BJP,0,Graduate Professional,Rs 6655300 ,Rs 0 
Vichare Rajan Baburao,THANE,SHS, 13 ,10th Pass,Rs 102091612 ,Rs 13054217 
Parasuraman.K,THANJAVUR,AIADMK,0,12th Pass,Rs 146049347 ,Rs 27954352 
Parthipan R.,THENI,AIADMK,0,Graduate,Rs 22047681 ,Rs 869650 
Dr. Shashi Tharoor,THIRUVANANTHAPURAM,INC,0,Doctorate,Rs 230275186 ,Rs 0 
Jeyasingh Thiyagaraj Natterjee.J,THOOTHUKKUDI,AIADMK,0,Post Graduate,Rs 9822294 ,Rs 0 
C N Jayadevan,THRISSUR,CPI, 3 ,Post Graduate,Rs 20041642 ,Rs 294000 
Dr. Virendra Kumar,TIKAMGARH,BJP,0,Doctorate,Rs 8764635 ,Rs 0 
P.Kumar S/O Palanivel,TIRUCHIRAPPALLI,AIADMK,0,Graduate Professional,Rs 18522597 ,Rs 1917891 
Prabakaran.K.R.P,TIRUNELVELI,AIADMK,0,Graduate Professional,Rs 2764500 ,Rs 0 
Varaprasad Rao Velagapalli,TIRUPATI,Yuvajana Sramika Rythu Congress Party,0,Doctorate,Rs 129128388 ,Rs 3132962 
V.Sathyabama,TIRUPPUR,AIADMK, 2 ,Post Graduate,Rs 28108573 ,Rs 2475755 
Venugopal. P. Dr.,TIRUVALLUR,AIADMK,0,Graduate Professional,Rs 28643502 ,Rs 1768538 
Vanaroja R,TIRUVANNAMALAI,AIADMK,0,Post Graduate,Rs 3700000 ,Rs 0 
Sukhbir Singh Jaunapuria,TONK-SAWAI MADHOPUR,BJP,0,12th Pass,Rs 714124612 ,Rs 0 
Jitendra Choudhury,TRIPURA EAST,CPI(M),0,12th Pass,Rs 11322979 ,Rs 2030773 
Sankar Prasad Datta,TRIPURA WEST,CPI(M), 1 ,Post Graduate,Rs 1320900 ,Rs 0 
S.P.Muddahanumegowda,TUMKUR,INC,0,Graduate Professional,Rs 30273812 ,Rs 0 
Purno Agitok Sangma,TURA,NPP,0,Post Graduate,Rs 215134618 ,Rs 0 
Arjunlal Meena,UDAIPUR,BJP,0,Post Graduate,Rs 17049951 ,Rs 8195866 
Dr. Jitendra Singh,UDHAMPUR,BJP,0,Graduate Professional,Rs 38464932 ,Rs 11881 
Shobha Karandlaje,UDUPI CHIKMAGALUR,BJP,0,Post Graduate,Rs 72089452 ,Rs 38119792 
Nityanand Rai,UJIARPUR,BJP, 1 ,Graduate,Rs 146743540 ,Rs 3965423 
Chintamani Malviya,UJJAIN,BJP,0,Doctorate,Rs 18888754 ,Rs 5483153 
Sultan Ahmed,ULUBERIA,AITC,0,Graduate,Rs 22792936 ,Rs 10878739 
Swami Sachchidanand Hari Sakshi,UNNAO,BJP, 8 ,Doctorate,Rs 32137597 ,Rs 0 
Anantkumar Hegde,UTTARA KANNADA,BJP,0,12th Pass,Rs 32367360 ,Rs 15139611 
Mullappally Ramachandran,VADAKARA,INC,0,Post Graduate,Rs 9225000 ,Rs 2160000 
Narendra Modi,VADODARA,BJP,0,Post Graduate,Rs 15157582 ,Rs 0 
Rama Kishore Singh,VAISHALI,LJP, 4 ,Graduate,Rs 21610218 ,Rs 3323006 
Satish Dubey,VALMIKI NAGAR,BJP, 3 ,10th Pass,Rs 6061576 ,Rs 626789 
Dr. K.C.Patel,VALSAD,BJP,0,Graduate Professional,Rs 131141867 ,Rs 2381344 
Narendra Modi,VARANASI,BJP,0,Post Graduate,Rs 16591582 ,Rs 0 
Senguttuvan B.,VELLORE,AIADMK,0,Post Graduate,Rs 9197355 ,Rs 440478 
Sushma Swaraj,VIDISHA,BJP,0,Graduate Professional,Rs 175516422 ,Rs 6500000 
Srinivas Kesineni,VIJAYAWADA,TDP, 3 ,10th Pass,Rs 1284122669 ,Rs 715462989 
S. Rajendran,VILUPPURAM,AIADMK,0,Graduate,Rs 6200000 ,Rs 2371331 
Radhakrishnan,VIRUDHUNAGAR,AIADMK,0,10th Pass,Rs 43736485 ,Rs 5273447 
Dr. Kambhampati Hari Babu,VISAKHAPATNAM,BJP,0,Doctorate,Rs 90103580 ,Rs 1854856 
Ashok Gajapathi Raju Pusapati,VIZIANAGARAM,TDP,0,10th Pass,Rs 39054905 ,Rs 0 
Kadiyam Srihari,WARANGAL,TRS, 6 ,Post Graduate,Rs 13495000 ,Rs 0 
Ramdas Chandrabhanji Tadas,WARDHA,BJP, 5 ,10th Pass,Rs 33628998 ,Rs 1749314 
M I Shanavas,WAYANAD,INC,0,Post Graduate,Rs 27122055 ,Rs 7711000 
Parvesh Sahib Singh,WEST DELHI,BJP, 1 ,Post Graduate,Rs 107235461 ,Rs 26650000 
Gawali Bhavana Pundlikrao,YAVATMAL-WASHIM,SHS, 4 ,Graduate,Rs 60886040 ,Rs 7368967 
B.B.Patil,ZAHIRABAD,TRS,0,Graduate,Rs 1023173039 ,Rs 83517670 
